,Unnamed: 0,Unnamed: 0.1,맥주이름,맥주스타일,Main Category,Aroma,Flavor,Balance,Season,Paring Food,Body,평점평균,평가횟수
22,25,12,OB Premier Pilsner,Pale Lager - American,라거,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함', '단 맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드', '매운 음식', '무거운 음식']","['드라이', '깔끔함', '탄산']",2.2368421052631575,57
23,26,15,Hite D (Dry Finish),Pale Lager - American,라거,"['고소한 맥아향', '강한 향', '달콤한 맥아향', '풀잎향']","['쓴 맛', '상쾌함', '약한 단맛', '약한 떫은 맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",2.0830508474576264,59
24,27,16,Hite Prime Max,Pale Lager - American,라거,"['고소한 맥아향', '강한 향', '풀잎향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.9060344827586206,116
25,28,17,Hite Extra Cold,Pale Lager - American,라거,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함', '옅은 옥수수 향', '옅은 맥아향']","['미디엄', '단 맛']",['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",2.1414634146341465,41
26,29,21,Miller Genuine Draft (MGD),Pale Lager - American,라거,"['고소한 맥아향', '강한 향', '옥수수 향', '약한 캐라멜 멕아향']","['쓴 맛', '상쾌함', '캐러멜']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.6739923631735252,2357
27,30,31,Budweiser,Pale Lager - American,라거,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",1.5370234267340388,4354
28,32,45,Stephans Bräu Premium Lager,Pale Lager - American,라거,"['고소한 맥아향', '강한 향', '꽃향기', '달콤한 맥아향']","['쓴 맛', '상쾌함', '약한 단맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '풍부한 탄산']",2.0452380952380955,42
29,33,8,Guinness Draught,Stout - Dry / Irish,영국-아일랜드 에일,"['로스팅 보리향', '커피향', '홉 아로마 거의 없음', '약한 빵 향']","['쓴 맛', '약간 크리미', '초콜렛']","['매우 드라이', '청량함']",['연중 내내'],"['스테이크', '고기 파이', '리치한 음식', '든든한 음식', '굴', '초콜릿']","['드라이', '가벼운 탄산화', '부드러움']",3.4602240398292894,5624
30,34,9,Kronenbourg 1664 Blanc,Witbier / Belgian White Ale,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['스파이시한 효모향', '오렌지', '고수', '과일향']","['드라이한 크림 풍미', '부드러움', '시큼한 끝맛', '사과맛']","['밀크셰이크 질감', '드라이', '약간 시큼함', '크리미']","['연중 내내', '따뜻한 날씨']","['홍합', '연어', '닭', '가벼운 음식']","['드라이', '미디엄', '매우 크리미', '크리미']",2.7887249736564805,949
31,35,43,Jeju Wit Ale,Witbier / Belgian White Ale,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['스파이시한 효모향', '오렌지', '고수', '순한 고수향', '밀 향']","['드라이한 크림 풍미', '부드러움', '시큼한 끝맛']","['밀크셰이크 질감', '드라이', '약간 시큼함']","['연중 내내', '따뜻한 날씨']","['홍합', '연어', '닭', '가벼운 음식']","['드라이', '미디엄', '매우 크리미', '크리미']",3.0058823529411764,17
32,37,10,Pilsner Urquell,Pilsener - Bohemian / Czech,라거,"[""'깔끔한 맥아향', '사츠홉향','스파이시한 향','허브향'"", '약한 빵 향', '꽃향기']","['달콤한 맥아', '캐러멜', '사츠 홉의 풍미', '쌉쌀한 풍미', '쓴 맛', '섬세함', '단 맛', '빵 껍질']","['홉의 풍미', '쌉쌀한 끝맛']",['연중 내내'],"['닭', '샐러드', '연어', '가벼운 음식', '알싸한 쓴 음식', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '타파스', '저크 치킨', '야키도리']","['미디엄', '깔끔함', '탄산', '가벼움']",3.2922044276966576,4246
33,38,58,Gambrinus Originál 10° (Desítka),Pilsener - Bohemian / Czech,라거,"[""'깔끔한 맥아향', '사츠홉향','스파이시한 향','허브향'""]","['달콤한 맥아', '캐러멜', '사츠 홉의 풍미', '쌉쌀한 풍미', '쓴 맛', '섬세함']","['홉의 풍미', '쌉쌀한 끝맛']",['연중 내내'],"['닭', '샐러드', '연어', '가벼운 음식', '알싸한 쓴 음식', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '타파스', '저크 치킨', '야키도리']","['미디엄', '깔끔함', '탄산', '가벼움']",2.5267942583732057,418
34,40,20,Krombacher Weizen,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '가벼움']",3.1344984802431597,658
35,42,28,Tsingtao Wheat Beer,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향', '바나나 향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미', '단 맛']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '미디엄', '상쾌함']",2.81,30
36,43,29,Erdinger Weissbier,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향', '바나나향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '많은 탄산']",3.1582509505703404,2630
37,44,34,Paulaner Hefe-Weissbier,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀', '샌드위치', '기름진 음식']","['걸쭉', '드라이']",3.601931518876207,3417
38,45,37,Edelweiss Weissbier Snowfresh,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",3.2607449856733526,349
39,46,46,Stephans Bräu Hefe-Weizen Naturtrüb,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '가벼움']",2.6524752475247535,101
40,48,70,Volfas Engelman Grünberger Hefeweizen,Weissbier - Hefeweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",3.1454545454545455,11
41,50,23,Tiger Radler Lemon,Radler / Shandy,미국-크래프트 맥주,"['과일향', '레몬향']","['낮은 알코올', '탄산수', '단맛', '달콤함']",[],['연중 내내'],['빵'],"['탄산', '가벼움', '깔끔함']",2.0772727272727276,22
42,51,53,Egger Grapefruit Radler,Radler / Shandy,미국-크래프트 맥주,"['과일향', '단맛']","['낮은 알코올', '탄산수']",[],['연중 내내'],['빵'],"['탄산', '불쾌한 탄산화']",2.3297872340425534,47
43,52,69,Schöfferhofer Grapefruit,Radler / Shandy,미국-크래프트 맥주,"['과일향', '자몽향']","['낮은 알코올', '탄산수', '신맛']",[],['연중 내내'],['빵'],['탄산'],2.8646604938271616,648
44,53,26,Reeper B. Exotisches IPA,IPA,미국-크래프트 맥주,"['과일향', '홉향', '맥아향']","['깔끔한 맥아 풍미', '캐러멜', '깔끔함', '청량함', '쌉쌀한 끝맛', '강렬함', '쓴 맛', '캐러멜']","['미디엄', '청량함', '쌉쌀한 끝맛', '크리미']",['연중 내내'],"['여러 광범위한 음식', '버거', '체다 치즈', '스테이크', '프렌치프라이', '샌드위치', '어니언링', '나쵸', '블루치즈', '퀘사디아']","['청량함', '드라이']",2.4458333333333333,24
45,54,30,Carlsberg Pilsner,Pilsener / Pils / Pilsner,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '후추향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함', '단맛']","['균형', '드라이', '비터', '깔끔한 끝맛']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함']",2.2656069364161877,1730
46,55,44,Stephans Bräu Premium Pilsener,Pilsener / Pils / Pilsner,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '가벼운 곡물향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함', '단맛 거의 없음']","['균형', '드라이', '비터', '깔끔한 끝맛']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함', '적절한 탄산화']",2.11,60
47,56,48,Eichbaum Apostel Bräu,Pilsener / Pils / Pilsner,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '약간의 과일향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함']","['균형', '드라이', '비터', '깔끔한 끝맛', '크리미']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함']",2.4486842105263156,152
48,57,71,Berliner Kindl Jubiläums Pilsener Premium,Pilsener / Pils / Pilsner,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '약한 빵 향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함']","['균형', '드라이', '비터', '깔끔한 끝맛']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함']",2.6124555160142355,281
49,58,75,Warsteiner Premium Verum,Pilsener / Pils / Pilsner,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함']","['균형', '드라이', '비터', '깔끔한 끝맛']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함']",2.7197038255861803,2431
50,59,32,Hoegaarden,Wheat Ale,벨기에 맥주,"['과일향', '스파이시한 향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트']","['걸쭉', '드라이', '가벼움']",3.5227052074139453,4532
51,60,35,Desperados,Flavored - Other,기타,"['캐러멜 향', '허브향']","['데킬라맛', '단맛', '달콤함']",[],[],[],[],1.7905529953917054,868
52,61,38,Heineken Dark Lager,Dark Lager - International / Premium,라거,"['맥아향', '초콜렛 향', '캐러멜 향', '맥아향', '멕아 로스팅향']","['구운 풍미', '쌉쌀한 풍미', '섬세한', '캐러멜', '부드러움', '약한 쓴맛', '약한 단맛', '캐러멜', '달콤함']",['맥아 풍미'],"['견과류', '기름진 음식', '파자', '마른안주']","['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['미디엄', '가벼움']",2.6726003490401373,573
53,62,62,Asahi Super Dry Black,Dark Lager - International / Premium,라거,"['맥아향', '초콜렛 향', '캐러멜 향']","['구운 풍미', '쌉쌀한 풍미', '섬세한', '캐러멜', '부드러움', '약한 쓴맛', '약한 단맛']",['맥아 풍미'],"['견과류', '기름진 음식', '파자', '마른안주']","['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['미디엄', '가벼움']",2.6555555555555563,117
54,63,39,Kozel Černý (Dark) 10°,Dark Lager - Dunkel / Tmavý,라거,"['맥아향', '초콜렛 향', '카라멜향']","['구운 풍미', '쌉쌀한 풍미', '섬세한', '캐러멜', '초콜릿', '빵 껍질', '달콤함', '단맛']","['균형', '부드러움']",['연중 내내'],"['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['가벼움', '미디움']",3.0046109510086456,1041
55,68,50,Egger Märzenbier,Märzen / Oktoberfest Bier,라거,"['고소한 맥아향', '캐러멜향', '쿠키향', '홉 아로마 거의 없음']","['캐러멜', '달콤한 쿠기 풍미', '약간 쌉쌀함']","['맥아 풍미', '홉에 의한 밸런스 거의 없음']","['9월', '10월', '연중내내']","['멕시코 요리', '매운 요리', '닭', '소시지', '마일드 치즈']",['미디엄'],2.4999999999999996,183
56,69,55,Bavaria 8.6 (Original),Pilsener - Imperial,라거,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '강한 향', '소나무향', '약한 빵 향']","['강한 쓴맛', '쓴 맛', '섬세함', '캐러멜', '단맛']","['균형', '드라이', '비터', '깔끔한 끝맛']","['연중 내내', '따듯한 날씨']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['깔끔함', '탄산', '가벼움']",2.1870689655172395,348
57,71,65,Hoegaarden Rosée,Flavored - Fruit,미국-크래프트 맥주,"['과일향', '라즈베리향']","['과일 풍미', '시큼한 풍미', '크리미함', '달콤함']","['청량함', '드라이', '약간 달콤', '일정 수준의 신맛']",['연중 내내'],"['샐러드', '가벼운 음식', '가벼운 디저트']","['라이트', '미디엄']",2.5093587521663774,577
58,74,73,Red Rock,Amber Lager - International / Vienna,라거,"['과일향', '고소한 맥아향', '약한 빵 향', '허브향']","['구운 풍미', '쓴 맛', '견과류 맥아 풍미', '가벼움', '단 맛']",['청럄함'],['연중 내내'],"['구운 붉은 고기', '바비큐 고기', '햄', '고구마 튀김', '살코기 생선', '퀘사디야', '필라프', '맥앤치즈', '피자', '화히타', '내장', '풀드 포크', '버섯']",['가벼움'],1.84,15
59,75,74,Erdinger Weissbier Dunkel,Weissbier - Dunkelweizen,컨티넨털 에일/바이스비어/에일-라거하이브리드,"['과일향', '스파이시한 향', '캐러멜향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '캐러멜', '달콤함', '초콜렛']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['연중 내내', '여름']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트']","['걸쭉', '드라이']",3.2239536056480027,1983
